mode,spatial,singular,m_c,m_h,T_c,T_h,vel_ratio
13,0.04111966981055344,26.581767478561876,202.5945,2.01641,29.84,53.63,100.47287010082275
14,0.01768416024567193,24.801625178086628,202.5945,2.01641,29.84,53.63,100.47287010082275
15,0.023649262121061703,24.08930373880343,202.5945,2.01641,29.84,53.63,100.47287010082275
16,0.04348509348018373,23.65779753033044,202.5945,2.01641,29.84,53.63,100.47287010082275
17,0.04228321840335692,22.940107853746007,202.5945,2.01641,29.84,53.63,100.47287010082275
18,0.03564812282871953,21.946894701387013,202.5945,2.01641,29.84,53.63,100.47287010082275
19,0.04019934698814536,21.140085512098857,202.5945,2.01641,29.84,53.63,100.47287010082275
0,0.0056403157095385225,149.16645008166068,202.5945,2.01641,29.84,53.63,100.47287010082275
1,0.007681044782432574,107.30308295424287,202.5945,2.01641,29.84,53.63,100.47287010082275
2,0.0391009860298963,70.95880736253852,202.5945,2.01641,29.84,53.63,100.47287010082275
3,0.034108822720859515,66.96801552511224,202.5945,2.01641,29.84,53.63,100.47287010082275
4,0.015087716284392103,57.73705061066222,202.5945,2.01641,29.84,53.63,100.47287010082275
5,0.08878510496081467,51.943615134934156,202.5945,2.01641,29.84,53.63,100.47287010082275
6,0.051242963950668914,51.01548750389671,202.5945,2.01641,29.84,53.63,100.47287010082275
7,0.055979100893757204,42.2743309345663,202.5945,2.01641,29.84,53.63,100.47287010082275
8,0.051452272968110065,40.31208549627094,202.5945,2.01641,29.84,53.63,100.47287010082275
9,0.0322806608046359,39.00916389312403,202.5945,2.01641,29.84,53.63,100.47287010082275
10,0.03076335277105684,35.222516110250965,202.5945,2.01641,29.84,53.63,100.47287010082275
11,0.05981046949939006,32.88680069926138,202.5945,2.01641,29.84,53.63,100.47287010082275
12,0.04054207939791008,29.961630280358897,202.5945,2.01641,29.84,53.63,100.47287010082275
13,0.0693997036595943,26.581767478561876,202.5945,2.01641,29.84,53.63,100.47287010082275
14,0.06353591001659652,24.801625178086628,202.5945,2.01641,29.84,53.63,100.47287010082275
15,0.03087040843766635,24.08930373880343,202.5945,2.01641,29.84,53.63,100.47287010082275
16,0.0565973003139708,23.65779753033044,202.5945,2.01641,29.84,53.63,100.47287010082275
17,0.04481737583991677,22.940107853746007,202.5945,2.01641,29.84,53.63,100.47287010082275
18,0.020678316754203577,21.946894701387013,202.5945,2.01641,29.84,53.63,100.47287010082275
19,0.03428251506573464,21.140085512098857,202.5945,2.01641,29.84,53.63,100.47287010082275
0,0.007942016657979518,149.16645008166068,202.5945,2.01641,29.84,53.63,100.47287010082275
1,0.008900205549557066,107.30308295424287,202.5945,2.01641,29.84,53.63,100.47287010082275
2,0.030047485375896434,70.95880736253852,202.5945,2.01641,29.84,53.63,100.47287010082275
3,0.03359762200103006,66.96801552511224,202.5945,2.01641,29.84,53.63,100.47287010082275
4,0.017521929569806517,57.73705061066222,202.5945,2.01641,29.84,53.63,100.47287010082275
5,0.04795468863786956,51.943615134934156,202.5945,2.01641,29.84,53.63,100.47287010082275
6,0.01674729447507535,51.01548750389671,202.5945,2.01641,29.84,53.63,100.47287010082275
7,0.03707795689577403,42.2743309345663,202.5945,2.01641,29.84,53.63,100.47287010082275
8,0.01483663032975873,40.31208549627094,202.5945,2.01641,29.84,53.63,100.47287010082275
9,0.011982900621103479,39.00916389312403,202.5945,2.01641,29.84,53.63,100.47287010082275
10,0.008385973552584164,35.222516110250965,202.5945,2.01641,29.84,53.63,100.47287010082275
11,0.011585655002369927,32.88680069926138,202.5945,2.01641,29.84,53.63,100.47287010082275
12,0.005891535953034384,29.961630280358897,202.5945,2.01641,29.84,53.63,100.47287010082275
13,0.023784701433037115,26.581767478561876,202.5945,2.01641,29.84,53.63,100.47287010082275
14,0.010027450899025186,24.801625178086628,202.5945,2.01641,29.84,53.63,100.47287010082275
15,0.026037335341128173,24.08930373880343,202.5945,2.01641,29.84,53.63,100.47287010082275
16,0.027649193478302442,23.65779753033044,202.5945,2.01641,29.84,53.63,100.47287010082275
17,0.016873352853427396,22.940107853746007,202.5945,2.01641,29.84,53.63,100.47287010082275
18,0.027741534392766422,21.946894701387013,202.5945,2.01641,29.84,53.63,100.47287010082275
19,0.010711400703734605,21.140085512098857,202.5945,2.01641,29.84,53.63,100.47287010082275
0,0.021836953519708477,149.16645008166068,202.5945,2.01641,29.84,53.63,100.47287010082275
1,0.008086168927871229,107.30308295424287,202.5945,2.01641,29.84,53.63,100.47287010082275
2,0.009102264829516097,70.95880736253852,202.5945,2.01641,29.84,53.63,100.47287010082275
3,0.02504927839782847,66.96801552511224,202.5945,2.01641,29.84,53.63,100.47287010082275
4,0.005210607260347398,57.73705061066222,202.5945,2.01641,29.84,53.63,100.47287010082275
5,0.022066736129194322,51.943615134934156,202.5945,2.01641,29.84,53.63,100.47287010082275
6,0.014129779522288433,51.01548750389671,202.5945,2.01641,29.84,53.63,100.47287010082275
7,0.012502933861239783,42.2743309345663,202.5945,2.01641,29.84,53.63,100.47287010082275
8,0.01718674141086248,40.31208549627094,202.5945,2.01641,29.84,53.63,100.47287010082275
9,0.01570234220426062,39.00916389312403,202.5945,2.01641,29.84,53.63,100.47287010082275
10,0.0142333687445279,35.222516110250965,202.5945,2.01641,29.84,53.63,100.47287010082275
11,0.006641212384750221,32.88680069926138,202.5945,2.01641,29.84,53.63,100.47287010082275
12,0.018086072935190968,29.961630280358897,202.5945,2.01641,29.84,53.63,100.47287010082275
13,0.00941094768982206,26.581767478561876,202.5945,2.01641,29.84,53.63,100.47287010082275
14,0.0364612624487952,24.801625178086628,202.5945,2.01641,29.84,53.63,100.47287010082275
15,0.004810025524027507,24.08930373880343,202.5945,2.01641,29.84,53.63,100.47287010082275
16,0.016616539667000718,23.65779753033044,202.5945,2.01641,29.84,53.63,100.47287010082275
17,0.005369495874112399,22.940107853746007,202.5945,2.01641,29.84,53.63,100.47287010082275
18,0.01376666645350846,21.946894701387013,202.5945,2.01641,29.84,53.63,100.47287010082275
19,0.01712630150493887,21.140085512098857,202.5945,2.01641,29.84,53.63,100.47287010082275
0,0.01140907990143209,137.20224506332053,373.45544,5.04607,34.95,88.13,74.00916753037512
1,0.09235457822076427,108.08351041209626,373.45544,5.04607,34.95,88.13,74.00916753037512
2,0.009446730668007707,101.99647910405852,373.45544,5.04607,34.95,88.13,74.00916753037512
3,0.035458332497217686,91.90053511159435,373.45544,5.04607,34.95,88.13,74.00916753037512
4,0.0071514778926560045,84.79400353717416,373.45544,5.04607,34.95,88.13,74.00916753037512
5,0.045864513542925034,80.13788577062802,373.45544,5.04607,34.95,88.13,74.00916753037512
6,0.055151062158356745,71.02939066567657,373.45544,5.04607,34.95,88.13,74.00916753037512
7,0.05883034554072698,66.29957224915469,373.45544,5.04607,34.95,88.13,74.00916753037512
8,0.04176805820196053,61.686380594405236,373.45544,5.04607,34.95,88.13,74.00916753037512
9,0.060440690569295435,55.329901302577355,373.45544,5.04607,34.95,88.13,74.00916753037512
10,0.0725094047273101,51.46426189317594,373.45544,5.04607,34.95,88.13,74.00916753037512
11,0.0165412514212623,48.42415473919972,373.45544,5.04607,34.95,88.13,74.00916753037512
12,0.030591428455155174,45.475507275927015,373.45544,5.04607,34.95,88.13,74.00916753037512
13,0.09294113462343237,42.75045574004201,373.45544,5.04607,34.95,88.13,74.00916753037512
14,0.018883093715123683,42.23288526147195,373.45544,5.04607,34.95,88.13,74.00916753037512
15,0.023883810682000243,39.94489101553088,373.45544,5.04607,34.95,88.13,74.00916753037512
16,0.029914842307283418,37.91391910513993,373.45544,5.04607,34.95,88.13,74.00916753037512
17,0.02871956108328847,37.71202958131314,373.45544,5.04607,34.95,88.13,74.00916753037512
18,0.09409693905061066,35.313391312921766,373.45544,5.04607,34.95,88.13,74.00916753037512
19,0.019309635404395335,32.100223414900434,373.45544,5.04607,34.95,88.13,74.00916753037512
0,0.0069029577304608085,137.20224506332053,373.45544,5.04607,34.95,88.13,74.00916753037512
1,0.024487923420368277,108.08351041209626,373.45544,5.04607,34.95,88.13,74.00916753037512
2,0.024744325405706168,101.99647910405852,373.45544,5.04607,34.95,88.13,74.00916753037512
3,0.04156646150655396,91.90053511159435,373.45544,5.04607,34.95,88.13,74.00916753037512
4,0.03162427428826988,84.79400353717416,373.45544,5.04607,34.95,88.13,74.00916753037512
5,0.04117205522216443,80.13788577062802,373.45544,5.04607,34.95,88.13,74.00916753037512
6,0.04540033048266201,71.02939066567657,373.45544,5.04607,34.95,88.13,74.00916753037512
7,0.04825004718091105,66.29957224915469,373.45544,5.04607,34.95,88.13,74.00916753037512
8,0.05900709938266915,61.686380594405236,373.45544,5.04607,34.95,88.13,74.00916753037512
9,0.02056434153108347,55.329901302577355,373.45544,5.04607,34.95,88.13,74.00916753037512
10,0.030958498465462087,51.46426189317594,373.45544,5.04607,34.95,88.13,74.00916753037512
11,0.0374389217885892,48.42415473919972,373.45544,5.04607,34.95,88.13,74.00916753037512
12,0.06694195614965007,45.475507275927015,373.45544,5.04607,34.95,88.13,74.00916753037512
13,0.01356521362071131,42.75045574004201,373.45544,5.04607,34.95,88.13,74.00916753037512
14,0.024557418369507124,42.23288526147195,373.45544,5.04607,34.95,88.13,74.00916753037512
15,0.05056468019605589,39.94489101553088,373.45544,5.04607,34.95,88.13,74.00916753037512
16,0.03588619416224874,37.91391910513993,373.45544,5.04607,34.95,88.13,74.00916753037512
17,0.028698115994043687,37.71202958131314,373.45544,5.04607,34.95,88.13,74.00916753037512
18,0.044339749120218035,35.313391312921766,373.45544,5.04607,34.95,88.13,74.00916753037512
19,0.024386251028238052,32.100223414900434,373.45544,5.04607,34.95,88.13,74.00916753037512
0,0.011027028864597289,137.20224506332053,373.45544,5.04607,34.95,88.13,74.00916753037512
1,0.017152672757971596,108.08351041209626,373.45544,5.04607,34.95,88.13,74.00916753037512
2,0.0156630892455138,101.99647910405852,373.45544,5.04607,34.95,88.13,74.00916753037512
3,0.03402187125936086,91.90053511159435,373.45544,5.04607,34.95,88.13,74.00916753037512
4,0.00873235604138606,84.79400353717416,373.45544,5.04607,34.95,88.13,74.00916753037512
5,0.0030653703019032984,80.13788577062802,373.45544,5.04607,34.95,88.13,74.00916753037512
6,0.04198688397207714,71.02939066567657,373.45544,5.04607,34.95,88.13,74.00916753037512
7,0.024472168101260433,66.29957224915469,373.45544,5.04607,34.95,88.13,74.00916753037512
8,0.04124804297840609,61.686380594405236,373.45544,5.04607,34.95,88.13,74.00916753037512
9,0.018076353596061835,55.329901302577355,373.45544,5.04607,34.95,88.13,74.00916753037512
10,0.024834533618701,51.46426189317594,373.45544,5.04607,34.95,88.13,74.00916753037512
11,0.012315664868700006,48.42415473919972,373.45544,5.04607,34.95,88.13,74.00916753037512
12,0.03174670436011194,45.475507275927015,373.45544,5.04607,34.95,88.13,74.00916753037512
13,0.012631334686545079,42.75045574004201,373.45544,5.04607,34.95,88.13,74.00916753037512
14,0.018155481726168664,42.23288526147195,373.45544,5.04607,34.95,88.13,74.00916753037512
15,0.03140673655860619,39.94489101553088,373.45544,5.04607,34.95,88.13,74.00916753037512
16,0.0013940640953362664,37.91391910513993,373.45544,5.04607,34.95,88.13,74.00916753037512
17,0.016396391027340973,37.71202958131314,373.45544,5.04607,34.95,88.13,74.00916753037512
18,0.025278908881301937,35.313391312921766,373.45544,5.04607,34.95,88.13,74.00916753037512
19,0.00958507039821284,32.100223414900434,373.45544,5.04607,34.95,88.13,74.00916753037512
0,0.028000743580266763,137.20224506332053,373.45544,5.04607,34.95,88.13,74.00916753037512
1,0.013607594079599111,108.08351041209626,373.45544,5.04607,34.95,88.13,74.00916753037512
2,0.030354340347638523,101.99647910405852,373.45544,5.04607,34.95,88.13,74.00916753037512
3,0.0140794370390358,91.90053511159435,373.45544,5.04607,34.95,88.13,74.00916753037512
4,0.017152379034914806,84.79400353717416,373.45544,5.04607,34.95,88.13,74.00916753037512
5,0.018496546587835318,80.13788577062802,373.45544,5.04607,34.95,88.13,74.00916753037512
6,0.021466267071863793,71.02939066567657,373.45544,5.04607,34.95,88.13,74.00916753037512
